petID,petYear,petEvent,petLink
08CEC244AAC523BD6BDC48310149553A,2008,July,https://www.chickensmoothie.com/archive/2008/July/
DE8BB2E0415326E14CE068F5C6225AFE,2008,July,https://www.chickensmoothie.com/archive/2008/July/
43C6C21185F617805631D7EFBCDCE7D7,2008,July,https://www.chickensmoothie.com/archive/2008/July/
D27200D9F4C020483C5475456B1F3219,2008,July,https://www.chickensmoothie.com/archive/2008/July/
C5057EC610648C14A89E48D89EC4656A,2008,July,https://www.chickensmoothie.com/archive/2008/July/
7317CA0A4BD89965992266534949BFB5,2008,July,https://www.chickensmoothie.com/archive/2008/July/
991230410D1AD9751F2DC9CE88F9A341,2008,July,https://www.chickensmoothie.com/archive/2008/July/
93410C28BCA05D229AF47CFD6539571A,2008,July,https://www.chickensmoothie.com/archive/2008/July/
0298A4D843E20303246FDE73DC08598B,2008,July,https://www.chickensmoothie.com/archive/2008/July/
1A9C5DDA6755F9E06C0C29A62ECE55C2,2008,July,https://www.chickensmoothie.com/archive/2008/July/
8F8B9D98E580463B0490859361F23C0E,2008,July,https://www.chickensmoothie.com/archive/2008/July/
2D5DFCD5BDC6F9D019331E100DC47903,2008,July,https://www.chickensmoothie.com/archive/2008/July/
262334812D1CB48508CDF790E7C5003D,2008,July,https://www.chickensmoothie.com/archive/2008/July/
517C285FAB6ADF92CCBFBD194D12FC03,2008,July,https://www.chickensmoothie.com/archive/2008/July/
0018FE5CE4ED4EAD378D270EC7657527,2008,July,https://www.chickensmoothie.com/archive/2008/July/
F47075F3CD8D517C631FD1677F8AE907,2008,July,https://www.chickensmoothie.com/archive/2008/July/
518E0AC267FB3FCFB30C97A3272136BC,2008,July,https://www.chickensmoothie.com/archive/2008/July/
59C0F41AF842FC7F4490FDD9F8C90A51,2008,July,https://www.chickensmoothie.com/archive/2008/July/
D0C52D681E0625EF16864EAE14FA21BF,2008,July,https://www.chickensmoothie.com/archive/2008/July/
C67769DA8F96E81FF27B578DCD75C613,2008,July,https://www.chickensmoothie.com/archive/2008/July/
FCA31997A149A688FF63B72EB508773E,2008,July,https://www.chickensmoothie.com/archive/2008/July/
EB76E23C7476377F309F7018E98D219D,2008,July,https://www.chickensmoothie.com/archive/2008/July/
DF29856960399F4A3830CB5D5390B7FB,2008,July,https://www.chickensmoothie.com/archive/2008/July/
B2A818DCFA50467C59D11EBE14B07D37,2008,July,https://www.chickensmoothie.com/archive/2008/July/
D6D87AC0306F17DA7AE7ECF066456B0B,2008,July,https://www.chickensmoothie.com/archive/2008/July/
1522C293308E69F264E7821615BCFF8A,2008,July,https://www.chickensmoothie.com/archive/2008/July/
EE8DDB7045A00424D986AEC3ED274C95,2008,July,https://www.chickensmoothie.com/archive/2008/July/
E611F2988AEA0296E2820FEB5A3A8634,2008,July,https://www.chickensmoothie.com/archive/2008/July/
7F3A2C201E626D5F9FD545F04D3D71C5,2008,July,https://www.chickensmoothie.com/archive/2008/July/
748E57C8EAB7E81D6649B7CCE6CC4B46,2008,July,https://www.chickensmoothie.com/archive/2008/July/
B961AF0681EF11CC018C3091B333B4B1,2008,July,https://www.chickensmoothie.com/archive/2008/July/
99F855B1A9FBB1CF56D2DAAD7BE44F9C,2008,July,https://www.chickensmoothie.com/archive/2008/July/
8268D714523C5070150DF05215C12C17,2008,July,https://www.chickensmoothie.com/archive/2008/July/
75397BFF7310D103B71E28B68F8C2916,2008,July,https://www.chickensmoothie.com/archive/2008/July/
2860768D013F4C35DA9E0F22244AE9B6,2008,July,https://www.chickensmoothie.com/archive/2008/July/
3BA46DD365B7108E26BB1D27107F26B0,2008,July,https://www.chickensmoothie.com/archive/2008/July/
9E775B31413163C6095225C4BBC325DC,2008,July,https://www.chickensmoothie.com/archive/2008/July/
B9CC26F8505C7A66ACB1076ECAABEE6F,2008,July,https://www.chickensmoothie.com/archive/2008/July/
